Designator,Mid X,Mid Y,Rotation,Layer
C1,70.1,-113.6,0.0,top
C10,154.57,-126.13,0.0,top
C11,151.59,-122.78,0.0,top
C12,148.48,-132.68,0.0,top
C13,148.56,-129.23,0.0,top
C14,251.64,-100.01,0.0,top
C15,234.34,-121.88,0.0,top
C16,65.73,-129.58,0.0,top
C17,50.6,-138.61,0.0,top
C18,50.6,-141.96,0.0,top
C19,50.6,-145.31,0.0,top
C2,181.11,-37.96,0.0,top
C20,70.17,-126.13,0.0,top
C21,70.17,-122.78,0.0,top
C22,59.72,-132.16,0.0,top
C23,56.61,-138.61,0.0,top
C24,64.08,-126.23,0.0,top
C3,111.96,-112.0,0.0,top
C4,140.47,-85.96,0.0,top
C5,176.46,-45.16,0.0,top
C6,142.47,-132.68,0.0,top
C7,157.6,-122.78,0.0,top
C8,142.47,-139.38,0.0,top
C9,142.47,-136.03,0.0,top
D1,139.315,-89.685,0.0,top
D2,153.905,-54.225,0.0,top
D3,61.745,-112.9125,0.0,top
F1,166.75,-57.95,0.0,top
F2,124.17,-97.98,0.0,top
F3,160.15,-65.15,0.0,top
F4,119.52,-105.18,0.0,top
FB1,100.41,-114.61,0.0,top
IC1,78.65,-113.6,0.0,top
IC2,142.115,-146.67,0.0,top
J1,73.18,-103.33,0.0,top
J10,175.78,-38.61,0.0,top
J11,153.55,-60.5,0.0,top
J2,140.82,-43.28,0.0,top
J3,50.95,-103.33,0.0,top
J4,140.82,-77.29,0.0,top
J5,97.58,-98.26,0.0,top
J6,87.1,-111.875,0.0,top
J7,91.695,-65.06,0.0,top
J8,106.63,-112.65,0.0,top
J9,118.87,-98.66,0.0,top
L1,94.32,-114.61,0.0,top
L2,142.51,-129.28,0.0,top
L3,64.12,-122.83,0.0,top
M1,161.45,-58.63,0.0,top
PE1,107.66,-103.33,0.0,top
PS1,51.905,-127.48,0.0,top
Q1,144.349,-51.825,0.0,top
Q2,166.579,-37.835,0.0,top
Q3,169.355,-123.38,0.0,top
R1,154.2,-67.02,0.0,top
R10,142.44,-142.7,0.0,top
R11,160.55,-126.1,0.0,top
R12,163.58,-122.75,0.0,top
R13,62.59,-136.19,0.0,top
R14,65.7,-132.9,0.0,top
R15,56.58,-141.93,0.0,top
R16,50.57,-148.63,0.0,top
R17,76.15,-122.75,0.0,top
R2,181.08,-41.28,0.0,top
R3,124.17,-101.27,0.0,top
R4,154.2,-70.31,0.0,top
R5,176.43,-48.48,0.0,top
R6,148.45,-136.0,0.0,top
R7,154.54,-129.45,0.0,top
R8,148.45,-139.29,0.0,top
R9,154.46,-132.74,0.0,top
U1,52.32,-113.6,0.0,top
U2,186.915,-38.14,0.0,top
U3,204.46,-69.09,0.0,top
U4,204.46,-47.22,0.0,top
U5,144.355,-124.33125,0.0,top
U6,239.73,-109.27,0.0,top
U7,233.46,-125.33,0.0,top
U8,52.485,-133.71125,0.0,top
