"Footprint","Part Value","LCSC Part"
"1778780","1778780","C5173835"
"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","10uF 10V","C513765"
"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","0.1uF 50V","C28061"
"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","47uF 50V","C2918513"
"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","100uF 10V","C3339"
"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","10uF 50V","C440198"
"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","10uF 25V","C15850"
"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","100nF 50V","C49678"
"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2.7nF 50V","C1733"
"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","22uF 10V","C76634"
"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","100nF 6.3V","C1711"
"C_Radial_D6.3mm_H11.0mm_P2.50mm","100uF 35V","C3339"
"C_Radial_D6.3mm_H11.0mm_P2.50mm","100nF 35V","C525005"
"C_Radial_D6.3mm_H11.0mm_P2.50mm","10uF 10V","C513765"
"C_Radial_D6.3mm_H5.0mm_P2.50mm","100uF 35V","C3339"
"DIOM5436X261N","SMBJ26A","C10216"
"D_1206_3216Metric_Pad1.42x1.75mm_HandSolder","DIODE-1N4148","C2128"
"IRL540SPBF","IRL540SPBF","C111607"
"L_1206_3216Metric_Pad1.22x1.90mm_HandSolder","15uH","C16113"
"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","10K","C17414"
"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","24k","C17575"
"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","10k","C17414"
"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","3.9k","C17614"
"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","22k","C17560"
"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1k87","C228390"
"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","47K","C17713"
"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1k","C1716"
"SM04BHCHKTBLFSN","SM04B-SRSS-TB(LF)(SN)","C160404"
"SOIC127P600X175-8N","CAT24C256","C79987"
"SOT-23","2N7002K","C77975"
"SOT-23","DMG2305UX-7","C150470"
"SOT-523","DMG1012T","C2830301"
"SOT230P700X180-4N","TLV1117-33","C37359"
"SOT95P285X140-6N","D5V0P4UR6SO-7","C531179"
"SOT95P285X140-6N","DMMT5401-7-F","C154733"
"TerminalBlock_Altech_AK300-2_P5.00mm","Screw_Terminal_01x02","C8385"
"Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias","DRV8870DDA","C1556925"
